【うき】　 メルマガPR 管理表,,,,,,,,
▼ルール▼,,,,,,,,
・PRを挿入するメルマガには、スケジュールの枠に「PR＊（PR IDを入れ下さい）（期限まで/のみ）」を入力する　※PRを削除する週は「PR＊（PR IDを入れ下さい）削除」を入力する,,,,,,,,
・PRが終了したら、グレーにする,,,,,　,,,
・新着メルマガPRも管理表に入れる,,,,,,,,
※リストに記載が無い場合、把握漏れの可能性があります。ご連絡下さい。（2018/1/23荒木）,,,,,,,,
PR ID,名称,PRが入るメルマガ,PR文面,開始予定日,終了予定日,終了,備考,
1,営業大特集,企画営業職新着,"
┏━━━★注目大特集★━━━━━┓

◆営業大特集◆

自分の頑張りが評価・収入につながりやすい営業職の求人情報をお届け！
今後のキャリアの選択肢を拡げてみませんか?
https://woman.type.jp/s/salessp/?waad=waw0yO0y&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

┗━━━━━━━━━━━━━━━┛",2017/03/**,2017/03/29,終了,,
２,営業・医療大特集（２つ合体版）,★新着総合[全],"

┏━━━★注目大特集★━━━━━┓

◆営業大特集◆

自分の頑張りが評価・収入につながりやすい営業職の求人情報をお届け！
今後のキャリアの選択肢を拡げてみませんか?
https://woman.type.jp/s/salessp/?waad=waw0yO0y&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

◆医療・介護・福祉業界に関わる仕事特集◆

需要が高まっている医療・介護・福祉・保育の求人情報をお届け！
専門スキルを磨いて社会に貢献しながら長く働いてみませんか?
https://woman.type.jp/s/kaigosp/?waad=ZeF7KLdD&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

┗━━━━━━━━━━━━━━━┛",2017/03/**,2017/03/29,終了,,
３,営業・医療大特集＆納品対策キャンペーン（３つ合体版）,納品対策,"┏━━━★注目大特集★━━━━━┓

◆営業大特集◆

自分の頑張りが評価・収入につながりやすい営業職の求人情報をお届け♪
今後のキャリアの選択肢を拡げてみませんか?
https://woman.type.jp/s/salessp/?waad=waw0yO0y&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

◆医療・介護・福祉業界に関わる仕事特集◆

需要が高まっている医療・介護・福祉・保育の求人情報をお届け♪
専門スキルを磨いて社会に貢献しながら長く働いてみませんか?
https://woman.type.jp/s/kaigosp/?waad=ZeF7KLdD&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

◆編集部が厳選！この春注目の求人◆
https://woman.type.jp/job-feature/17503/?waad=5dGH3jIe&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

┗━━━━━━━━━━━━━━━┛",2017/03/**,2017/03/28,終了,,
４,納品対策キャンペーン,納品対策,"┏━━━★注目求人特集★━━━━━┓

◆編集部が厳選！この春注目の求人◆
https://woman.type.jp/job-feature/17503/?waad=5dGH3jIe&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

┗━━━━━━━━━━━━━━━┛",2017/04/03,2017/04/24,終了,,
5,アパレル大特集,サービス・販売職経験者向け,"┏━━━★期間限定特集★━━━━┓

10年後、20年後も女性として輝き続けたい！
仕事を通して自分もキレイになれる
アパレル・コスメ業界の求人情報をお届け！

◆アパレル・コスメ業界大特集◆
https://woman.type.jp/s/fashion/sp20160927/?waad=Sc9pToTa&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

┗━━━━━━━━━━━━━━━┛",2017/05/26,2017/06/22,終了,,
6,アパレル大特集＆女性活躍推進企業特集（２つ合体版）,"★新着総合[全]
編集部オススメ
納品対策","┏━━━★期間限定特集★━━━━┓

----------注目特集１-------------
10年後、20年後も女性として輝き続けたい！
仕事を通して自分もキレイになれる
アパレル・コスメ業界の求人情報をお届け！

◆アパレル・コスメ業界大特集◆
https://woman.type.jp/s/fashion/sp20160927/?waad=Sc9pToTa&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

----------注目特集２-------------
女の転職＠typeでは、経済産業省や厚生労働省が認定している企業の
求人情報などお届け！

結婚しても、出産してもキャリアを諦めたくない
そんな女性の「働く」を応援しています。

◆女性の活躍推進企業特集◆
https://woman.type.jp/s/jyosei-katsuyaku/sp20161202/?waad=u9XKkK3g&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

┗━━━━━━━━━━━━━━━┛",2017/05/26,2017/06/22,終了,,
7,女性活躍推進企業特集,"★新着総合[全]
編集部オススメ
納品対策","┏━━━★期間限定特集★━━━━┓

女の転職＠typeでは、経済産業省や厚生労働省が認定している企業の
求人情報などお届け！

結婚しても、出産してもキャリアを諦めたくない
そんな女性の「働く」を応援しています。

◆女性の活躍推進企業特集◆
https://woman.type.jp/s/jyosei-katsuyaku/sp20161202/?waad=u9XKkK3g&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

┗━━━━━━━━━━━━━━━┛",使わない,使わない,終了,,
8,大和ライフネクスト,35歳以上向け,"……………………………………………
　　編集部イチオシ求人 PICK-UP
----------------------------------
★社名：大和ライフネクスト株式会社（大和ハウスグループ）
└職種名：マンション運営コンサルタント【40・50代活躍】未経験★正社員★ブランクOK 
└勤務地：首都圏（新宿/赤坂）奈良・兵庫 宮城・石川・広島 その他
URL：https://woman.type.jp/job-offer/260551/?waad=TKJazfnD&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>
……………………………………………",2017/06/10,2017/06/24,終了,6/10と6/24の２回配信,
9,大和ライフネクスト,35歳以上向け_関西,"……………………………………………
　　編集部イチオシ求人 PICK-UP
----------------------------------
★社名：大和ライフネクスト株式会社（大和ハウスグループ）
└職種名 ：マンション運営コンサルタント【40・50代活躍】未経験★正社員★ブランクOK 
└勤務地 ：奈良・兵庫 
URL：　https://woman.type.jp/job-offer/260551/?waad=TKJazfnD&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>
……………………………………………
",2017/06/10,2017/06/24,終了,6/10と6/24の２回配信,
10,"女性フェア「営業」特設バナー
","希望職種_営業
","━ PR ━━━━━━━━━━━━━━
女性向け転職イベント出展！営業・販売職、人と関わる仕事特集
https://woman.type.jp/job-feature/17383/?waad=kBMpImYJ&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>
━━━━━━━━━━━━━━━━━
",2017/06/13,2017/06/26,終了,期間中に１回のみ掲載,
11,女性フェア「販サ」特設バナー,希望職種_販サ,"━ PR ━━━━━━━━━━━━━━
女性向け転職イベント出展！営業・販売職、人と関わる仕事特集
https://woman.type.jp/job-feature/17383/?waad=bSYoxe9a&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>
━━━━━━━━━━━━━━━━━",2017/06/13,2017/06/26,終了,期間中に１回のみ掲載,
12,介護大特集＆女性活躍推進企業特集（２つ合体版）,"★新着総合[全]
編集部オススメ
納品対策","

┏━━━★期間限定特集★━━━━━┓

---------◆注目特集1◆---------------
介護・保育・医療・福祉業界の特集をお届け！

社会の変化に伴い、ニーズが拡大している今がチャンス！
ぜひチェックしてみて下さい。

◆介護・保育・医療・福祉業界に関わる仕事特集◆
https://woman.type.jp/s/kaigosp/?waad=fb5rf2VK&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

---------◆注目特集2◆---------------
女の転職＠typeでは、経済産業省や厚生労働省が認定している企業の
求人情報などお届け！

結婚しても、出産してもキャリアを諦めたくない
そんな女性の「働く」を応援しています。

◆女性の活躍推進企業特集◆
https://woman.type.jp/s/jyosei-katsuyaku/sp20161202/?waad=u9XKkK3g&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

┗━━━━━━━━━━━━━━━┛
",2017/06/23,2017/07/19,終了,どちらの特集も7/20終了のため、7/19までは掲載する。,
13,Woman type　PR,（木14）コンテンツメルマガ,"┏━★今週の転職お役立ち情報★━┓

復職ママ、転職活動のリアル
「産休・育休明けの転職はナシ！？」「夜の面接どうするの？」
https://woman.type.jp/wt/feature/7560/?waad=QsxFLcNG&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

「うちが第一希望？」「他にどんな会社受けてる？」
面接で聞かれて困る質問６つに対する模範解答って？
https://woman.type.jp/wt/feature/6456/?waad=QsxFLcNG&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

┗━━━━━━━━━━━━━━━━┛",2017/07/27,2017/08/24,"終了
↓
定期化","毎週火曜日に福田さんから入稿される

※8/22更新済",
14,IT・Web業界の大特集,（火12・金12）新着,"┏━━━★注目大特集★━━━━━┓

専門スキルを身につけられる！
IT・Web業界の求人情報をお届け♪

この機会に「手に職」を身につけてみませんか？

◆IT・Web業界大特集◆
https://woman.type.jp/s/websp/?waad=I8eaov0q&routeway=85&xmid=<%XMID%>&ac=<%USR_SEQ%>

┗━━━━━━━━━━━━━━━┛",2017/08/01,2017/09/01,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
