日付,時間,メルマガ内容,通数,種別,PR,形式,対象年齢,対象現住所,求人の職種,備考,新規,設定者,確認者,配信停止
Wed,12,5月入社可能,2,検,,フリー,,,,"＜配信条件＞※2万通 
年齢：35歳～60歳以上
最終ログイン日：40",,石,部,FALSE
Tue,21,フルリモート×フレックス_エンジニア,0.7,検,,抽出,,,,,,石,部,FALSE
Wed,12,5月入社可能,2,検,,フリー,,,,"＜配信条件＞※2万通 
年齢：35歳～60歳以上
最終ログイン日：40",,石,部,FALSE
Fri,20,有給取得率,2.2,検,,抽出,,,,,,石,武,FALSE
Mon,20,保育士_幼稚園教諭,0.1,検,,抽出,,,,,,石,部,FALSE
Tue,10,カスタマーサクセス_リモート ,0.9,毎月配信,,抽出,,,,3317,,武,部,FALSE
Tue,18,スカウトリマインド,6.8,毎月配信,,フリー,,,,,,武,部,FALSE
Wed,19,アプリ人気,3.5,毎月配信,,抽出,,,,,,武,部,FALSE
Wed,9,時短×リモート_関西,0.2,毎月配信,,抽出,,,,,,石,部,FALSE
Wed,10,週休3日OK_ランキング,2.8,毎月配信,,抽出,,,,,,石,部,FALSE
Wed,10,全国募集,2.8,毎月配信,,抽出,,,,,,石,部,FALSE
Thu,19,フルリモートランキング_新規30日以降,4,毎月配信,,抽出,,,,,,石,部,FALSE
Thu,10,フルリモートランキング_新規8日から29日,0.8,毎月配信,,抽出,,,,,,石,部,FALSE
Thu,15,レコメンドリマインド,6.8,毎月配信,,フリー,,,,,,武,部,FALSE
Fri,8,自己PR不要×面接1回,2.4,毎月配信,,抽出,,,,,,石,部,FALSE
Fri,18,人気単独求人_おまとめメルマガ,4,毎月配信,,フリー,,,,,,武,部,FALSE
Fri,19,内定まで最短,4,毎月配信,,抽出,,,,,,武,部,FALSE
Sat,15,ミライさんリマインド,5.6,毎月配信,,抽出,,,,,,武,部,FALSE
Sat,17,首都圏_アドバイザー・カウンセラー_未経験,2.2,毎月配信,,抽出,,,,,,武,部,FALSE
Sun,17,お祝い金あり,2.8,毎月配信,,抽出,,,,,,武,部,FALSE
Sun,18,増発_フレキシブル事務,5,毎月配信,,抽出,,,,,,石,部,FALSE
Mon,12,10時以降出社,2.3,毎月配信,,抽出,,,,,,石,部,FALSE
Mon,17,ふるさと納税メルマガ,2.6,毎月配信,,抽出,,,,,,部,平,FALSE
Mon,17,美容クリニックで働く,2.4,毎月配信,,抽出,,,,,,部,平,FALSE
Mon,20,保育士_幼稚園教諭,,,,,,,,スプシ,●,,,FALSE
Sat,10,JAD特集,2,,,,,,,"4/18(土) ～4/25(土)　4回
期間：4月18日～4月25日
通数：2万通
配信日：
配信対象：最終ログイン日から7日以内（19517人が該当）
抽出ID：20929
1社あたりの上限職種数：全て　
抽出上限社数：150社",AP,,,FALSE
Sat,10,JAD特集,2,,,,,,,"4/18(土) ～4/25(土)　4回
期間：4月18日～4月25日
通数：2万通
配信日：
配信対象：最終ログイン日から7日以内（19517人が該当）
抽出ID：20929
1社あたりの上限職種数：全て　
抽出上限社数：150社",AP,,,FALSE
Tue,11,エンジニアフェア,,イレギュラー,,,,,,"3/10(火)～4/7(火)
　現住所：関東  
　新規会員の指定：最新レジュメ更新日からの経過日数を指定
　経過日数を指定：※上限の8.5万通以下になるよう設定お願いいたします。
　※文面にも記載いたします。",type課,,,FALSE
Tue,11,エンジニアフェア,,イレギュラー,,,,,,"3/10(火)～4/7(火)
　現住所：関東  
　新規会員の指定：最新レジュメ更新日からの経過日数を指定
　経過日数を指定：※上限の8.5万通以下になるよう設定お願いいたします。
　※文面にも記載いたします。",type課,,,FALSE
Tue,11,エンジニアフェア,,イレギュラー,,,,,,"3/10(火)～4/7(火)
　現住所：関東  
　新規会員の指定：最新レジュメ更新日からの経過日数を指定
　経過日数を指定：※上限の8.5万通以下になるよう設定お願いいたします。
　※文面にも記載いたします。",type課,,,FALSE
Tue,11,エンジニアフェア,,イレギュラー,,,,,,"3/10(火)～4/7(火)
　現住所：関東  
　新規会員の指定：最新レジュメ更新日からの経過日数を指定
　経過日数を指定：※上限の8.5万通以下になるよう設定お願いいたします。
　※文面にも記載いたします。",type課,,,FALSE
Tue,11,エンジニアフェア,,イレギュラー,,,,,,"3/10(火)～4/7(火)
　現住所：関東  
　新規会員の指定：最新レジュメ更新日からの経過日数を指定
　経過日数を指定：※上限の8.5万通以下になるよう設定お願いいたします。
　※文面にも記載いたします。",type課,,,FALSE
Tue,21,フルリモート×フレックス_エンジニア,,,,,,,,スプシ,,,,FALSE
Fri,20,有給取得率,,,,,,,,スプシ,,,,FALSE
Tue,21,フルリモート×フレックス_エンジニア,,,,,,,,スプシ,,,,FALSE
Fri,20,有給取得率,,,,,,,,スプシ,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
,,,,,,,,,,,,,,FALSE
