日付,曜日,時間,メルマガ内容,通数,種別,設定者,確認者,備考
2026-04-14,火,15,ECサイト運用_未経験,0.7,隔週A,福,部,
2026-04-14,火,9,ランキング×WEBマーケティング,0.4,隔週A,部,石,
2026-04-14,火,17,引っ越し特典,2.3,隔週A,部,石,
2026-04-14,火,17,◇応募ランキング A,0.7,毎週配信,荒,平,
2026-04-14,火,12,★新着総合_首都圏 A,5,毎週配信,荒,平,
2026-04-14,火,12,★新着総合_西日本 A,2.9,毎週配信,荒,平,
2026-04-14,火,12,★新着総合_東海 A,1,毎週配信,荒,平,
2026-04-14,火,12,★新着総合_北海道・東北 A,0.8,毎週配信,荒,平,
2026-04-14,火,12,★新着総合_北関東・甲信越・北陸 A,0.7,毎週配信,荒,平,
2026-04-14,火,18,☆エンジニア_経験_首都圏版,0.1,毎週配信,部,内,
2026-04-14,火,18,☆エンジニア_未経験_首都圏版,0.4,毎週配信,部,内,
2026-04-14,火,16,35歳以上向け A,1,毎週配信,R,,
2026-04-14,火,19,35歳以上向け_関西 A,0.3,毎週配信,R,,
2026-04-14,火,19,40代ラスト転職,0.9,毎週配信,R,,
2026-04-14,火,19,TP部_営業_現住所,2,毎週配信,R,,
2026-04-14,火,21,WEB面接・コロナ対策,9.3,毎週配信,R,,
2026-04-14,火,19,フルリモート_全国_エンジニア,1.3,毎週配信,R,,
2026-04-14,火,19,フルリモート_全国_営業,1.8,毎週配信,R,,
2026-04-14,火,19,フルリモート_全国_事務,5.5,毎週配信,R,,
2026-04-14,火,9,ランキング_クリエイティブ（Web）_希望,0.5,毎週配信,R,,
2026-04-14,火,9,ランキング_営業（マーケ）_希望,0.5,毎週配信,R,,
2026-04-14,火,9,ランキング_事務（一般事務）_希望,1.5,毎週配信,R,,
2026-04-14,火,21,ランキング_事務（貿易事務）_希望,0.4,毎週配信,R,,
2026-04-14,火,16,育児両立_フレックス,0.6,毎週配信,R,,
2026-04-14,火,8,応募から1日_好条件営業ランキング,0.1,毎週配信,R,,
2026-04-14,火,21,応募から1日_好条件事務ランキング,0.1,毎週配信,R,,
2026-04-14,火,21,応募から3日会員,0.1,毎週配信,R,,
2026-04-14,火,8,快適な在宅ワーク,4.3,毎週配信,石,部,
2026-04-14,火,8,関西_自己PR不要_リモート未経験_事務,0.2,毎週配信,R,,
2026-04-14,火,15,好条件×業務委託,0.4,毎週配信,部,武,
2026-04-14,火,15,好条件×契約社員,1.2,毎週配信,R,,
2026-04-14,火,10,事務_販サ経験者向け_東京,0.4,毎週配信,R,,
2026-04-14,火,11,事務（経理）_希望,0.5,毎週配信,R,,
2026-04-14,火,8,推し活_残業なし_休日120日以上_月給30万以上,1.2,毎週配信,R,,
2026-04-14,火,17,仙台_リモートOK_未経験,0.2,毎週配信,R,,
2026-04-14,火,17,大阪_リモートOK_未経験,0.7,毎週配信,R,,
2026-04-14,火,17,単独求人訴求メルマガ_B,2.9,毎週配信,武,部,
2026-04-14,火,20,当日新規会員,0.1,毎週配信,荒,内,
2026-04-14,火,17,福岡_リモートOK_未経験,0.4,毎週配信,R,,
